Ref,Text Before,Named Entity,Text After,Label,Status
"Wilson, Lectures on Law (1789 to 1791), Part 1, Chapter VI Of Man, As An Individual 11","How wretched are oftentimes the representations and the imitations of Nature’s works! A puppet may make a few motions and gesticulations; but how unlike it is to that, which it represents! How contemptible, when compared to the body of a man, whose structure the more we know, the more we discover its wonders, and the more sensible we are of our ignorance! Is the mechanism of the mind so easily comprehended, when that of the body is so difficult? Yet, by some systems, which are offered to us, with pretensions the most lofty and magnificent, a few laws of association, joined to a few original feelings, explain the whole mechanism of sense, imagination, memory, belief, and of all the actions and passions of the mind. Is this the man that Nature made? It is a puppet surely, contrived to mimick her work. The more we know of other parts of nature, the more we approve and admire them. But when we look within, and consider the mind itself, which makes us capable of all our prospects and enjoyments; if it is indeed what some late systems of high pretensions make it, we find we have only been in an enchanted castle, imposed upon by spectres and apparitions. We blush to think how we have been deluded; we are ashamed of our frame; and can hardly forbear expostulating with our destiny. Is this thy pastime, O Nature, to put such tricks upon a silly creature, and then take off the mask, and show him how he has been befooled? If this is the philosophy of human nature; my soul! enter thou not into her secrets. It is surely the forbidden tree of knowledge: I no sooner taste of it, than I perceive myself naked.—Such, in substance, has been the well founded expostulation ",a. Reid’s Inq. 26. 28,". against some of the late and famed theories concerning the human mind. The theory, which we adopt, because we think it grounded in truth and reality, will open very different—the most enrapturing prospects.",Citation,tp
"Kent, Commentaries on American Law (1826 Though 1830), Volume Three, Part VI (Of the Law Concerning Real Property), Lecture 51 (Of Incorporeal Hereditaments) 44","If a right of way be from close A. to close B., and both closes be united in the same person, the right of way, as well as all other subordinate rights and easements, is extinguished by the unity of possession. ","62. Whalley v. Thompson, 1 Bos. &amp; Pull. 371",". But there is a distinction between a right of way existing from necessity, and one merely by way of easement or convenience. The former is not extinguished by the unity of possession, as a right of way to a church or market, or a right to a gutter carried through an adjoining tenement., or to a water course running over the adjoining lands. ",Citation,tp
"Kent, Commentaries on American Law (1826 Though 1830), Volume Three, Part VI (Of the Law Concerning Real Property), Lecture 51 (Of Incorporeal Hereditaments) 44",". But there is a distinction between a right of way existing from necessity, and one merely by way of easement or convenience. The former is not extinguished by the unity of possession, as a right of way to a church or market, or a right to a gutter carried through an adjoining tenement., or to a water course running over the adjoining lands. ","63. Popham. J, in Jorden v. Atwood",. ,Citation,tp
"Kent, Commentaries on American Law (1826 Though 1830), Volume Three, Part VI (Of the Law Concerning Real Property), Lecture 51 (Of Incorporeal Hereditaments) 44",. ,Owen’s Rep. 121,. ,Citation,tp
"Kent, Commentaries on American Law (1826 Though 1830), Volume Three, Part VI (Of the Law Concerning Real Property), Lecture 51 (Of Incorporeal Hereditaments) 44",. ,"Cruise’s Dig tit. Ways, 23, 24",. ,Citation,tp
"Kent, Commentaries on American Law (1826 Though 1830), Volume Three, Part VI (Of the Law Concerning Real Property), Lecture 51 (Of Incorporeal Hereditaments) 44",. ,Note to 1 Bos. &amp; Pull. 374,. ,Citation,tp
"Kent, Commentaries on American Law (1826 Though 1830), Volume Three, Part VI (Of the Law Concerning Real Property), Lecture 51 (Of Incorporeal Hereditaments) 44",. ,Sergeant Williams 64. Note 6. to 1 Saund. Rep 323,". is of opinion, that the right of way, when claimed by necessity, is founded entirely upon grant, and derives its force and origin from it. It is either created by express words, or it is created hy operation of law, as incident to the grant; so that in both cases the grant is the foundation to the title. If this be a sound construction of the rule, then it follows that in the cases I have mentioned, the right of the grantor to a way over the land he has sold to his remaining land, must be founded upon an implied restriction incident to the grant, and that it cannot be supposed the grantor meant to deprive himself of all use of his remaining land. This would be placing the right upon a reasonable foundation, and one consistent with the general principles of law.",Citation,tp
"Story, Commentaries on the Constitution of the United States, 1833, Book II, Chapter 4 Decline and Fall of the Confederation 262",The difficulty of enforcing even the obligations of the ,treaty of peace of 1783," was a most serious national evil. Great Britain made loud complaints of infractions thereof on the part of the several states, and demanded redress. She refused on account of these alleged infractions to surrender up the western ports according to the stipulations of that treaty; and the whole confederacy was consequently threatened with the calamities of Indian depredations on the whole of our western borders, and was in danger of having its public peace subverted through its mere inability to enforce the treaty stipulations. The celebrated ",Citation,tp
"Story, Commentaries on the Constitution of the United States, 1833, Book II, Chapter 4 Decline and Fall of the Confederation 262"," was a most serious national evil. Great Britain made loud complaints of infractions thereof on the part of the several states, and demanded redress. She refused on account of these alleged infractions to surrender up the western ports according to the stipulations of that treaty; and the whole confederacy was consequently threatened with the calamities of Indian depredations on the whole of our western borders, and was in danger of having its public peace subverted through its mere inability to enforce the treaty stipulations. The celebrated ","address of congress, in 1787",", to the several states on this subject, is replete with admirable reasoning, and contains melancholy proofs of the utter inefficiency of the confederation, and of the disregard by the states in their legislation of the provisions of that treaty. ",Citation,tp
"Story, Commentaries on the Constitution of the United States, 1833, Book II, Chapter 4 Decline and Fall of the Confederation 262",", to the several states on this subject, is replete with admirable reasoning, and contains melancholy proofs of the utter inefficiency of the confederation, and of the disregard by the states in their legislation of the provisions of that treaty. ","Journals of congress, April 13,1787, p. 32",; ,Citation,tp
